ID	Type	name
0	Complex	"complex(p(HGNC:""APOE""),p(HGNC:""TREM2""))"
1	Complex	"complex(p(HGNC:""CDK5""),p(HGNC:""CDK5R1""),p(HGNC:""CDK5R2""))"
3	Complex	"complex(a(GO:""endosome""),p(HGNC:""APP"",var(""?"")),p(HGNC:""NAE1"",var(""?"")))"
4	Complex	"complex(a(CHEBI:""choline""),p(HGNC:""CHRNA7""),p(HGNCGENEFAMILY:""G protein subunits alpha, group q""))"
5	Complex	"complex(p(MGI:""Pard3""),p(MGI:""Prkcz""),composite(p(MGI:""Pard6a""),p(MGI:""Pard6b""),p(MGI:""Pard6g"")))"
6	Complex	"complex(p(HGNC:""CASP8""),p(HGNC:""FADD""),p(HGNC:""PTPN13""))"
7	Complex	"complex(p(HGNC:""HDAC6""),p(HGNCGENEFAMILY:""Heat shock 90kDa proteins""))"
8	Complex	"complex(p(HGNC:""FKBP5""),p(HGNC:""RAF1""))"
9	Complex	"complex(p(HGNC:""BCL2""),p(HGNC:""BECN1""))"
10	Complex	"complex(g(MIRBASE:""rno-mir-195""),p(FPLX:""NFkappaB""))"
11	Complex	"complex(p(HGNC:""AXIN1""),p(HGNC:""AXIN2""),p(HGNC:""GSK3B""))"
12	Complex	"complex(p(HGNC:""STUB1""),p(INTERPRO:""Heat shock protein 70 family""),p(INTERPRO:""Heat shock protein Hsp90 family""))"
13	Complex	"complex(p(HGNC:""RMDN3""),p(HGNC:""VAPB""))"
14	Complex	"complex(a(CHEBI:""amyloid-beta""),p(HGNC:""LDLR""))"
15	Complex	"complex(p(HGNC:""IRS4"",pmod(Ph,Y)),p(HGNC:""PIK3R2""))"
16	Complex	"complex(p(INTERPRO:""Alpha tubulin"",pmod(Ac)),p(INTERPRO:""Alpha tubulin"",pmod(Ac)))"
17	Complex	"complex(p(RGD:""Erbb3""),p(RGD:""Met""))"
18	Complex	"complex(p(HGNC:""DOK3""),p(HGNC:""GRB2""),p(HGNC:""SOS1""))"
19	Complex	"complex(p(HGNC:""IRS1"",pmod(Ph,Y)),p(HGNC:""PTPN11""))"
20	Complex	"complex(a(MESH:""Alarmins""),p(HGNC:""P2RX7""))"
21	Complex	"complex(p(HGNC:""KEAP1""),p(HGNC:""MCMBP""))"
22	Complex	"complex(a(PUBCHEM:""501026""),p(INTERPRO:""HSP90, C-terminal domain""))"
23	Complex	"complex(p(MGI:""Pias4""),p(MGI:""Prkcz""))"
24	Complex	"complex(p(HGNC:""MAPK14""),p(HGNC:""SPAG9""))"
25	Complex	"complex(a(MESHC:""Liposomes""),a(MESHC:""heparin sulfate binding domain""),p(HGNC:""SDC4""))"
26	Complex	"complex(p(HGNC:""PPP2CB""),p(HGNC:""PPP2R1A""))"
27	Complex	"complex(p(HGNC:""CHRNA10""),p(HGNC:""CHRNA9""))"
28	Complex	"complex(p(MGI:""Mlst8""),p(MGI:""Mtor""),p(MGI:""Rptor""))"
29	Complex	"complex(a(CHEBI:""copper(2+)""),a(CHEBI:""zinc(2+)""),p(HGNC:""APP"",frag(""672_711"")))"
30	Complex	"complex(p(HGNC:""APP"",frag(""672_713"")),p(HGNC:""LDLR""))"
31	Complex	"complex(p(HGNC:""VIP""),p(HGNC:""VIPR1""))"
32	Complex	"complex(p(HGNC:""CD33"",pmod(Ph,Y,340)),p(HGNC:""PTPN6""))"
33	Complex	"complex(p(HGNC:""KLHL13""),p(HGNC:""NUDCD3""))"
34	Complex	"complex(a(GO:""microtubule""),p(CONSO:""4R tau""))"
35	Complex	"complex(p(RGD:""Cul5""),p(RGD:""Elob""),p(RGD:""Eloc""),p(RGD:""Rnf7""))"
36	Complex	"complex(p(HGNC:""BIRC2"",loc(MESHA:""Cell Membrane"")),p(HGNC:""BIRC3"",loc(MESHA:""Cell Membrane"")))"
37	Complex	"complex(p(HGNC:""IKBKB""),p(HGNC:""NGFR""))"
38	Complex	"complex(p(HGNC:""CHRNA6""),p(HGNC:""CHRNB3""))"
39	Complex	"complex(p(HGNC:""BUB1B""),p(HGNC:""BUB3""),composite(p(HGNC:""MAD2L1""),p(HGNC:""MAD2L2"")))"
40	Complex	"complex(p(MGI:""Stat1""),p(MGI:""Stat2""))"
41	Complex	"complex(p(RGD:""Irak1""),p(RGD:""Irak4""),p(RGD:""Traf6""))"
42	Complex	"complex(p(HGNC:""TREM2""),p(HGNC:""TYROBP"",loc(MESHA:""Intracellular Space"")))"
43	Complex	"complex(p(HGNC:""PPID""),p(HGNC:""SLC25A6""))"
44	Complex	"complex(p(HGNC:""HSPA5""))"
45	Complex	"complex(p(HGNC:""STIP1""),p(INTERPRO:""Heat shock protein 70 family""),p(INTERPRO:""Heat shock protein Hsp90 family""))"
46	Complex	"complex(a(CHEBI:""4-hydroxynonenal""),p(HGNC:""TARDBP""))"
47	Complex	"complex(p(RGD:""Max""),p(RGD:""Myc""))"
48	Complex	"complex(p(MGI:""Ahr""),p(MGI:""Arnt""))"
49	Complex	"complex(p(HGNC:""IAPP""),p(HGNC:""RAMP2""))"
50	Complex	"complex(p(HGNC:""CD33"",pmod(Ph)),p(HGNC:""PTPN11""))"
51	Complex	"complex(a(MESH:""Argonaute Proteins""),p(HGNC:""PTGES3""))"
52	Complex	"complex(r(HGNC:""MAPT""),r(HGNC:""MIR219A1""))"
53	Complex	"complex(p(RGD:""Casp1""),p(RGD:""Pycard""))"
54	Complex	"complex(a(CHEBI:""sialic acid"",loc(CHEBI:""ganglioside"")),p(HGNC:""MAG""))"
55	Complex	"complex(p(HGNC:""APP""),p(HGNC:""HSD17B10""))"
56	Complex	"complex(complex(GO:""receptor complex""),p(HGNC:""CD33""))"
57	Complex	"complex(p(HGNC:""NUDCD3""),p(INTERPRO:""Kelch-type beta propeller""))"
58	Complex	"complex(complex(GO:""NF-kappaB complex""),p(HGNC:""BNIP3""))"
59	Complex	"complex(p(HGNC:""SMAD4""),composite(p(HGNC:""SMAD2""),p(HGNC:""SMAD3"")),composite(p(HGNC:""WWTR1""),p(HGNC:""YAP1"")))"
60	Complex	"complex(p(RGD:""Fadd""),p(RGD:""Tradd""))"
61	Complex	"complex(p(HGNC:""TNF""),p(HGNC:""TNFRSF1A""))"
62	Complex	"complex(p(MGI:""Tnf""),p(MGI:""Tnfrsf1b""))"
63	Complex	"complex(p(HGNC:""PCLO""),p(HGNC:""RIMS2""))"
64	Complex	"complex(p(HGNC:""BCL2""),p(HGNC:""BCL2L1""))"
65	Complex	"complex(p(RGD:""Atg14""),p(RGD:""Becn1""),p(RGD:""Pik3c3""))"
66	Complex	"complex(p(MGI:""Jund""),p(MGI:""Naca""))"
67	Complex	"complex(a(CHEBI:""adenosine""),p(HGNC:""ADORA2A""))"
68	Complex	"complex(a(CHEBI:""HPV-16""),a(CHEBI:""heparan sulfate proteoglycan""),p(MESHC:""heparin sulfate chain""))"
69	Complex	"complex(a(PUBCHEM:""6913994""),p(HGNC:""PPP2CB""))"
70	Complex	"complex(a(CHEBI:""epibatidine""),a(MESH:""nicotinic receptor alpha3beta2""))"
71	Complex	"complex(p(MGI:""Atf1""),composite(p(MGI:""Atf2""),p(MGI:""Atf4""),p(MGI:""Atf6b""),p(MGI:""Creb1""),p(MGI:""Creb3""),p(MGI:""Creb3l1""),p(MGI:""Creb3l2""),p(MGI:""Creb3l3""),p(MGI:""Creb3l4""),p(MGI:""Creb5"")))"
72	Complex	"complex(p(HGNC:""APP""),p(HGNC:""DAB2""))"
73	Complex	"complex(a(CONSO:""amyloid-beta aggregates""),a(MESH:""Axons""))"
74	Complex	"complex(a(GO:""proteasome complex""),p(HGNC:""UBQLN1""))"
75	Complex	"complex(p(HGNC:""CHRNA7""),p(HGNC:""CHRNA7""),p(HGNC:""CHRNA7""),p(HGNC:""CHRNA7""),p(HGNC:""CHRNA7""))"
76	Complex	"complex(p(HGNC:""EGFR""),p(HGNC:""ERBB2""))"
77	Complex	"complex(p(HGNC:""APP""),p(HGNC:""PSEN1""),p(HGNC:""PSEN2""))"
78	Complex	"complex(p(HGNC:""ARNT""),p(HGNC:""HIF1A""))"
79	Complex	"complex(p(HGNC:""FKBP5""),p(HGNC:""HSP90AB1""))"
80	Complex	"complex(p(HGNC:""HSPB1""),p(HGNC:""MAPT"",pmod(CONSO:""hyperphosphorylation"")))"
81	Complex	"complex(p(RGD:""Ppard""),composite(p(RGD:""Rxra""),p(RGD:""Rxrb""),p(RGD:""Rxrg"")))"
82	Complex	"complex(p(RGD:""Mcm2""),p(RGD:""Mcm3""),p(RGD:""Mcm4""),p(RGD:""Mcm5""),p(RGD:""Mcm6""),p(RGD:""Mcm7""))"
83	Complex	"complex(a(CHEBI:""sialic acid"",loc(PFAM:""Glycoprotein"")),p(HGNC:""SIGLEC14""))"
84	Complex	"complex(a(CHEBI:""arecoline""),p(RGD:""Chrm2""))"
85	Complex	"complex(p(HGNC:""CASP8""),p(HGNC:""MAPT"",frag(""1_421"")))"
86	Complex	"complex(p(HGNC:""PSMD2""),p(HGNC:""STUB1""))"
87	Complex	"complex(a(GO:""vesicle""),a(MESH:""Cell Membrane""))"
88	Complex	"complex(p(HGNC:""CASP10""),p(HGNC:""CASP8""))"
89	Complex	"complex(g(HGNC:""MIR34B""),r(HGNC:""SNCA""))"
90	Complex	"complex(p(HGNC:""CHRNA1"",loc(GO:""endoplasmic reticulum"")),p(HGNC:""CHRNB1"",loc(GO:""endoplasmic reticulum"")),p(HGNC:""CHRND"",loc(GO:""endoplasmic reticulum"")),p(HGNC:""CHRNG"",loc(GO:""endoplasmic reticulum"")))"
91	Complex	"complex(composite(p(FLYBASE:""CG15800""),p(FLYBASE:""CG43089""),p(FLYBASE:""SkpA""),p(FLYBASE:""SkpB""),p(FLYBASE:""SkpC""),p(FLYBASE:""SkpD""),p(FLYBASE:""SkpE""),p(FLYBASE:""SkpF"")),composite(p(FLYBASE:""Cul1""),p(FLYBASE:""Cul6"")),composite(p(FLYBASE:""Roc1a""),p(FLYBASE:""Roc1b"")))"
92	Complex	"complex(p(HGNC:""FZR1""),composite(p(HGNC:""ANAPC1""),p(HGNC:""ANAPC10""),p(HGNC:""ANAPC11""),p(HGNC:""ANAPC13""),p(HGNC:""ANAPC2""),p(HGNC:""ANAPC4""),p(HGNC:""ANAPC5""),p(HGNC:""ANAPC7""),p(HGNC:""CDC16""),p(HGNC:""CDC23""),p(HGNC:""CDC26""),p(HGNC:""CDC27"")))"
93	Complex	"complex(p(MGI:""Blnk""),p(MGI:""Btk""))"
94	Complex	"complex(p(HGNC:""TRAF3""),complex(p(HGNC:""IL17RA""),p(HGNC:""IL17RC"")))"
95	Complex	"complex(a(GO:""NF-kappaB complex"",loc(GO:""nucleus"")),p(HGNC:""NFKB1"",loc(GO:""nucleus"")),p(HGNC:""RELA"",loc(GO:""nucleus"")))"
96	Complex	"complex(p(RGD:""Ifnar1""),p(RGD:""Ifnar2""))"
97	Complex	"complex(p(CONSO:""AP-2 complex""),p(HGNCGENEFAMILY:""Clathrin subunits""))"
98	Complex	"complex(p(GFAM:""G protein subunits beta""),p(RGD:""Chrna7""))"
99	Complex	"complex(p(HGNC:""MAPT""),p(HGNC:""USP9X""))"
100	Complex	"complex(CONSO:""alpha-7-containing nAChR"")"
101	Complex	"complex(p(RGD:""Lta""),composite(p(RGD:""LOC103694381""),p(RGD:""Ltb"")))"
102	Complex	"complex(p(HGNC:""IGF1""),p(HGNC:""INSR""))"
103	Complex	"complex(complex(GO:""SCF ubiquitin ligase complex""),p(HGNCGENEFAMILY:""Beta catenins"",pmod(Ph)))"
