entity,entity_type,entity_name,embedding_0,embedding_1,embedding_2,embedding_3,embedding_4,embedding_5,embedding_6,embedding_7,embedding_8,embedding_9,embedding_10,embedding_11,embedding_12,embedding_13,embedding_14,embedding_15,embedding_16,embedding_17,embedding_18,embedding_19,embedding_20,embedding_21,embedding_22,embedding_23,embedding_24,embedding_25,embedding_26,embedding_27,embedding_28,embedding_29,embedding_30,embedding_31,embedding_32,embedding_33,embedding_34,embedding_35,embedding_36,embedding_37,embedding_38,embedding_39,embedding_40,embedding_41,embedding_42,embedding_43,embedding_44,embedding_45,embedding_46,embedding_47,embedding_48,embedding_49,embedding_50,embedding_51,embedding_52,embedding_53,embedding_54,embedding_55,embedding_56,embedding_57,embedding_58,embedding_59,embedding_60,embedding_61,embedding_62,embedding_63
11550,Drug,Dyphylline,-0.031052124,0.063318215,-0.18994842,-0.0058920365,0.04091814,0.011812975,0.061644584,-0.00048113178,0.124464646,-0.044283,-0.03391076,0.100553155,0.20879017,0.025244096,-0.00022052252,-0.049043067,-0.051619638,0.12684114,-0.03146482,-0.116527796,-0.041654084,-0.362209,0.23007408,0.055349402,-0.17528327,-0.11845705,-0.118957974,0.13645527,0.11227438,0.0032100054,-0.23379853,-0.10564286,0.17312615,0.15785186,-0.039118856,-0.055541333,-0.028410025,-0.0643686,0.25024837,0.0713011,-0.15170787,-0.014670003,-0.07847373,0.17587191,0.13819368,-0.18082327,0.017592648,-0.072181664,0.10529766,0.1715836,-0.066216595,0.071215555,0.087526366,0.05674363,-0.044489324,0.04214869,0.042544894,-0.01048044,0.13168402,-0.099068515,0.011830327,-0.28805017,0.16300812,-0.0275324
11551,Drug,Imipramine,-0.17055075,0.17864299,-0.14518458,0.1635956,0.23653844,-0.18264958,-0.039296966,0.08998068,0.108867005,0.0025861678,-0.028335596,-0.068164036,0.011509044,0.12512867,0.2062612,-0.117273375,-0.1818987,0.16002655,-0.050645705,-0.04678224,0.0924408,-0.21690613,-0.060359977,0.10656259,-0.14749731,-0.07065899,-0.122804224,0.042071085,0.106479496,-0.085507125,0.005206743,-0.056305535,0.06391195,0.2512512,-0.109912835,0.00271153,0.013891162,-0.014677466,0.20127322,0.005925076,-0.13007493,-0.13593979,-0.03303655,0.09502408,-0.00544172,-0.14979258,-0.029667271,-0.105400145,0.005273112,0.20298274,-0.10624284,-0.09471868,0.20417243,-0.18915367,0.043129332,0.18588229,-0.094977364,0.050148323,-0.06925142,-0.121183515,-0.04061814,-0.041397538,0.18217611,-0.21409364
11552,Drug,Triprolidine,-0.04980735,0.2596092,-0.20540456,0.07871036,0.019871887,-0.12707281,0.32230976,0.07226426,-0.059394173,-0.07153194,-0.12080186,-0.13630694,0.08357146,0.06465357,-0.072651535,-0.12510382,0.06440995,0.13731784,0.15258469,-0.06309798,-0.113241084,-0.2248188,0.11105967,0.12557767,-0.04133628,-0.11214667,-0.12562203,0.059756085,0.11689605,-0.061230127,-0.105833195,-0.15371646,-0.057277355,0.13443184,-0.09940105,0.02016608,-0.070535764,-0.013776376,0.091528684,0.0010643848,-0.23581447,0.028064087,0.09101677,0.20504406,-0.017793622,-0.05192803,-0.07471955,-0.0011363328,-0.10131358,0.058055006,-0.20269585,0.11785415,0.020341367,-0.2575395,0.052054744,-0.08828581,0.0015325164,0.037806317,0.023984052,-0.05159832,-0.024675585,0.11679039,0.04235946,-0.18441892
11553,Drug,Dequalinium,-0.05299575,0.038944166,0.050754882,-0.003575618,-0.021569036,-0.1363376,-0.09076709,0.21144769,-0.19103588,0.2680083,-0.13132556,-0.0027745673,0.23794314,0.104917265,-0.04547502,-0.043391615,-0.035195258,0.051127724,0.11411316,-0.16552143,-0.16984461,0.118670605,-0.103366986,-0.0031924746,0.14771625,-0.12293338,0.16214901,0.057930183,0.028739858,-0.09701949,0.1777171,0.21941793,0.12547474,-0.064675115,0.037521966,-0.12308033,0.19109038,-0.19623612,0.03128537,-0.13717619,-0.0941594,0.035524525,0.103842676,-0.18726511,-0.11851231,-0.089387596,0.077573225,0.018369745,-0.122648075,-0.1303041,0.07496437,0.16419296,-0.07416627,0.027867135,-0.14582655,0.0034234943,0.24788512,0.031310637,-0.0367015,-0.04902033,-0.018177781,0.237308,-0.08196731,0.07242135
11554,Drug,Reboxetine,-0.016978767,0.2147805,0.20594423,0.21019524,-0.049817443,-0.14180626,0.08354046,0.028639626,0.1474311,-0.032604754,-0.05269505,-0.1390861,-0.06309648,0.09474497,-0.044308133,-0.09931544,-0.18128711,-0.074947745,-0.050609678,-0.1352358,-0.023998601,-0.0408298,0.069156475,0.112324,-0.18314855,-0.05101948,0.18769403,0.12058182,0.07103685,-0.10317286,-0.101506084,-0.0016131985,0.04417919,0.20061685,-0.24164079,-0.17701906,-0.064935714,0.04380359,0.14964898,0.017295903,-0.13531642,-0.04392876,-0.03890641,0.1793851,0.0706921,-0.12198542,0.046623416,-0.09322203,0.0043794084,-0.109295554,0.101140596,0.014359221,-0.06628032,-0.08934519,-0.09768258,0.04552857,0.11488271,0.033605304,-0.017068459,-0.09617106,0.11252091,0.024149768,0.042666674,-0.1200277
11555,Drug,Methotrimeprazine,-0.19977804,0.20818387,-0.049429607,0.057628594,0.11091805,-0.26491883,0.06471552,0.09727738,0.14728934,-0.053526837,-0.22367802,-0.012309224,0.061748873,0.021025537,0.13077824,-0.2053636,-0.10421088,0.2636553,-0.010018501,0.03521955,0.032558106,-0.27713108,0.010204296,0.06725962,-0.03868516,-0.039701443,0.010840916,0.10696527,0.021574458,-0.09957622,0.06751998,-0.14648631,0.005322324,0.26179302,-0.23192818,-0.007194493,0.069847554,-0.06582744,0.08914938,-0.12351789,-0.1042081,-0.08164774,0.023513062,0.047789466,-0.006262128,-0.1495399,0.13409138,-0.057216078,-0.071378924,0.18711145,-0.15677753,0.10231815,0.13856067,-0.12055707,0.05357107,-0.006262111,0.11131519,-0.05182667,-0.115638375,-0.09954528,0.029804423,-0.06855315,0.19950765,-0.21668608
11556,Drug,Sertindole,-0.023638979,0.06567813,-0.09169096,-0.045816217,0.06674052,-0.1596036,0.13346145,0.15206102,-0.07414973,0.0063562393,-0.007856699,0.14000262,-0.0063687935,-0.054280728,0.18244603,-0.110954106,0.04566499,0.12236771,-0.1268698,-0.024934452,0.14796922,-0.15269326,-0.0710485,-0.06310668,-0.08447134,-0.06710283,0.14084992,0.12680934,0.11261666,-0.11969168,0.21524206,0.023143351,-0.0378713,0.117871046,-0.2189959,0.036304675,0.076336406,-0.09508375,-0.026765209,-0.062027458,-0.14856367,-0.035976373,-0.029361697,0.17157315,-0.022175662,-0.1911684,0.1897037,-0.12886514,0.016937498,0.09238404,-0.1420128,-0.048859254,0.14235233,-0.023653312,-0.03469277,0.06708231,0.0027201143,0.13338064,0.08847156,-0.024418466,0.017366271,-0.2637384,0.12534468,-0.17626105
11557,Drug,Methylscopolamine bromide,-0.13415718,-0.23268752,-0.00045776833,0.099774666,0.08436543,-0.17809413,-0.017090352,0.0849734,0.1194577,0.0062409113,0.038551748,-0.0669693,-0.06447114,0.09448823,0.09548887,-0.17472288,-0.07850279,-0.0056680683,-0.101198845,-0.17243442,-0.0041519934,-0.16078265,0.032242242,-0.06572576,-0.043408368,-0.14520907,-0.02596381,0.021262154,0.0010165279,0.012613291,0.16110739,-0.020866634,0.09292445,0.14871773,-0.11396579,0.07641077,-0.12980376,-0.046633657,0.17870745,-0.099619225,0.019542301,-0.2797032,-0.043245535,-0.065544665,-0.12303284,-0.1075664,0.10883449,-0.17895764,-0.09452403,0.08090184,-0.014241291,0.04801943,0.18747237,-0.20792112,-0.06606318,-0.091852985,0.12033801,0.06905353,-0.07901254,-0.16336747,-0.13753574,0.034735795,0.14120035,-0.12422582
11558,Drug,Chlorotrianisene,-0.03255945,-0.21409413,0.119289055,0.007507985,-0.22358398,-0.28786215,0.014959663,0.009455539,0.12781227,0.08625595,0.14244065,-0.12854846,0.13242166,0.11578971,-0.2547827,-0.18661378,-0.036889307,-0.050358526,0.12612322,-0.022129644,-0.12647016,0.0125143975,-0.13000268,0.077902086,-0.0011563972,-0.0562719,-0.13491806,0.03642273,0.12980217,0.105592646,-0.124634095,-0.002605106,0.069689944,-0.06417653,-0.079635486,0.047401458,0.003103475,0.09560872,0.16249004,0.038144372,-0.147017,-0.07950934,0.17302722,0.062398657,0.024100734,0.01160827,-0.14409585,0.0967844,0.14476773,-0.08375385,-0.12639858,0.060082085,-0.006996405,0.020277234,-0.016711317,-0.08351294,0.12387401,0.13028616,0.07720488,-0.1464343,-0.0789117,0.21000329,0.008901589,0.101435706
11559,Drug,Fosphenytoin,0.015274057,-0.06920178,0.14530821,0.008826867,0.020324724,-0.07271286,-0.068116136,0.19180481,0.15640587,-0.038514595,-0.09856383,0.055618584,0.0020601302,0.15595032,-0.1862163,-0.15717752,-0.010713391,-0.08997605,0.10054697,0.124462426,-0.0829473,-0.083492965,0.019121516,0.1232962,-0.117778085,0.004735844,0.12511799,-0.22021772,0.17449671,0.011984417,-0.10557462,-0.16648701,0.07122353,0.026224405,-0.168367,-0.091546506,0.058536507,0.1555531,0.13760103,0.12095066,0.028285205,-0.11615485,0.012119829,0.14541034,-0.10926954,-0.11086572,0.040907208,-0.17542836,0.06592567,-0.15653664,-0.10594092,-0.17762141,-0.13407215,0.111754335,-0.075354405,-0.09009267,0.18113263,-0.12384157,0.11907325,0.022517726,0.14050704,-0.029149111,-0.060895972,0.023397774
11560,Drug,Atenolol,-0.094424814,-0.07289276,-0.09384315,0.039883036,0.09202537,-0.044414245,-0.06550825,-0.012869579,-0.0045438586,0.2227063,-0.070761666,0.07287755,-0.123545446,0.07676098,0.108568616,-0.071984746,-0.117045015,-8.361181e-05,0.14054519,-0.08193014,-0.07608023,-0.123105384,0.0044269646,0.085087,-0.03067009,0.08015514,-0.16708787,0.10391083,0.09293059,-0.100435294,0.11948849,0.028439658,-0.1504367,0.13384783,-0.10556935,0.16101891,0.05687273,0.05569717,-0.116182424,-0.1106178,-0.042885087,0.07608928,0.026841631,0.07473423,-0.26052335,-0.16280644,0.14454415,0.13426788,-0.069418035,-0.011645438,-0.13394815,-0.05217979,0.18127555,0.20987378,-0.17436594,-0.106949486,0.04571824,0.11604856,0.047806144,-0.041005045,-0.15441619,-0.11052327,0.2111601,0.03847352
