cas_number,label,table_link,db_id,indication
479-18-5,Dyphylline,1866X1628,DB00651,For relief of acute bronchial asthma and for reversible bronchospasm associated with chronic bronchitis and emphysema.
,"N-(4-Methoxybenzyl)-N'-(5-Nitro-1,3-Thiazol-2-Yl)Urea",1866X1666,DB01950,
,B-2-Octylglucoside,1866X1701,DB03152,
57982-77-1,Buserelin,1866X1789,,"Buserelin may be used in the treatment of hormone-responsive cancers such as prostate cancer or breast cancer, estrogen-dependent conditions (such as endometriosis or uterine fibroids), and in assisted reproduction."
,"[4-(4-ACETYLAMINO-PHENYL)-3,5-DIOXO-4-AZA-TRICYCLO[5.2.2.0 2,6]UNDEC-1-YLCARBAMOYLOXY]-ACETIC ACID",1866X1821,,
914088-09-8,Brentuximab vedotin,1866X1853,,"Seattle Genetics Announced FDA Approval of ADCETRIS® (Brentuximab Vedotin) in combination with chemotherapy for adults with previously untreated stage III or IV Classical Hodgkin Lymphoma in March 2018  [L1737, L1739].    Hodgkin lymphoma after failure of autologous stem cell transplant (ASCT) or after failure of at least two prior multi-agent chemotherapy regimens in patients who are not ASCT candidates [FDA label], [L1737].    Systemic anaplastic large cell lymphoma after failure of at least one prior multi-agent chemotherapy regimen [FDA label]."
50-49-7,Imipramine,1867X1622,DB00458,"For the relief of symptoms of depression and as temporary adjunctive therapy in reducing enuresis in children aged 6 years and older [FDA Label].     May also be used off-label to manage panic disorders with or without agoraphobia, as a second line agent for ADHD in children and adolescents, to manage bulimia nervosa, for short-term management of acute depressive episodes in bipolar disorder and schizophrenia, for the treatment of acute stress disorder and posttraumatic stress disorder, and for symptomatic treatment of postherpetic neuralgia and painful diabetic neuropathy [L1349,L1348,A31900,L1351,L1352,L1353,A31904]."
108-39-4,M-Cresol,1867X1661,DB01776,
,"2,4-Diamino-6-Phenyl-5,6,7,8,-Tetrahydropteridine",1867X1694,DB02911,
,1-Benzyl-3-(4-Methoxy-Benzenesulfonyl)-6-Oxo-Hexahydro-Pyrimidine-4-Carboxylic Acid Hydroxyamide,1867X1730,DB04140,
160212-35-1,Nelipepimut-S,1867X1780,,Investigated for use/treatment in prostate cancer and breast cancer.
,"(4Z)-2,8:7,12:11,15:14,18:17,22-PENTAANHYDRO-4,5,6,9,10,13,19,20,21-NONADEOXY-D-ARABINO-D-ALLO-D-ALLO-DOCOSA-4,9,20-TRIENITOL",1867X1819,,
,"4-(2,4-dichlorophenyl)-5-phenyldiazenyl-pyrimidin-2-amine",1867X1851,,
486-12-4,Triprolidine,1868X1621,DB00427,"For the symptomatic relief of seasonal or perennial allergic rhinitis or nonallergic rhinitis; allergic conjunctivitis; and mild, uncomplicated allergic skin manifestations of urticaria and angioedema. Also used in combination with other agents for the symptomatic relief of symptoms associated with the common cold."
,Adenosine-3'-5'-Diphosphate,1868X1662,DB01812,
,Di(N-Acetyl-D-Glucosamine),1868X1697,DB03013,
6707-58-0,Dequalinium,1868X1732,DB04209,"Effective local treatment as vaginal tablets for infections such as fluor vaginalis, bacterial vaginosis, aerobic vaginitis, vulvo-vaginal candidiasis and trichomoniasis. Used as a topical antimicrobial agent."
1189088-41-2,EVT-101,1868X1776,,"Investigated for use/treatment in alzheimer's disease, neurologic disorders, pain (acute or chronic), and parkinson's disease."
,"1-(2-{[(6-AMINO-2-METHYLPYRIDIN-3-YL)METHYL]AMINO}ETHYL)-6-CHLORO-3-[(2,2-DIFLUORO-2-PYRIDIN-2-YLETHYL)AMINO]-1,4-DIHYDROPYRAZIN-2-OL",1868X1813,,
71620-89-8,Reboxetine,1869X1615,DB00234,For the treatment of clinical depression.
,"2,5-Anhydroglucitol-1,6-Biphosphate",1869X1690,DB02778,
,Mercuribenzoic Acid,1869X1725,DB03975,
,Cintredekin Besudotox,1869X1763,,Investigated for use/treatment in brain cancer.
,"N-{1-[(1-carbamoylcyclopropyl)methyl]piperidin-4-yl}-N-cyclopropyl-4-[(1S)-2,2,2-trifluoro-1-hydroxy-1-methylethyl]benzamide",1869X1807,,
,"(4aS,4bR,10bS,12aS)-12a-methyl-1,3-dioxo-2-(pyridin-3-ylmethyl)-1,2,3,4,4a,4b,5,6,10b,11,12,12a-dodecahydronaphtho[2,1-f]isoquinolin-8-yl sulfamate",1869X1840,,
60-99-1,Methotrimeprazine,1870X1650,,"For the treatment of psychosis, particular those of schizophrenia, and manic phases of bipolar disorder."
109944-15-2,Kifunensine,1870X1689,DB02742,
106516-24-9,Sertindole,1870X1778,,Used in the treatment of schizophrenia.
,"5-(5-chloro-7H-pyrrolo[2,3-d]pyrimidin-4-yl)-4,5,6,7-tetrahydro-1H-imidazo[4,5-c]pyridine",1870X1815,,
155-41-9,Methylscopolamine bromide,1871X1622,DB00462,Used as adjunctive therapy for the treatment of peptic ulcer. Also used to treat nausea and vomiting due to motion sickness.
6008-91-9,Methacrylyl-Coenzyme A,1871X1658,DB01675,
,Para-Mercury-Benzenesulfonic Acid,1871X1696,DB02983,
167354-41-8,Zosuquidar,1871X1779,,Investigated for use/treatment in leukemia (myeloid) and myelodysplastic syndrome.
