Source_label,:TYPE,Target_label,HSA,Bliss,Loewe,ZIP
CP-945598,HAS_SYNERGISM_WITH,Panobinostat,3.18,2.79,-11.76,2.72
Panobinostat,HAS_SYNERGISM_WITH,CP-945598,3.18,2.79,-11.76,2.72
Vorapaxar,HAS_SYNERGISM_WITH,Ibrutinib,-1.24,2.58,-28.5,4.36
Ibrutinib,HAS_SYNERGISM_WITH,Vorapaxar,-1.24,2.58,-28.5,4.36
Vorapaxar,HAS_SYNERGISM_WITH,Panobinostat,5.7,6.6,0.51,6.8
Panobinostat,HAS_SYNERGISM_WITH,Vorapaxar,5.7,6.6,0.51,6.8
Linagliptin,HAS_SYNERGISM_WITH,Ruxolitinib,-5.75,8.22,-30.15,12.19
Ruxolitinib,HAS_SYNERGISM_WITH,Linagliptin,-5.75,8.22,-30.15,12.19
Linagliptin,HAS_SYNERGISM_WITH,Panobinostat,3.78,8.16,-13.97,8.4
Panobinostat,HAS_SYNERGISM_WITH,Linagliptin,3.78,8.16,-13.97,8.4
"(2S)-1,3-benzothiazol-2-yl{2-[(2-pyridin-3-ylethyl)amino]pyrimidin-4-yl}ethanenitrile",HAS_ANTAGONISM_WITH,Ruxolitinib,-10.62,-18.48,-20.24,-11.93
Ruxolitinib,HAS_ANTAGONISM_WITH,"(2S)-1,3-benzothiazol-2-yl{2-[(2-pyridin-3-ylethyl)amino]pyrimidin-4-yl}ethanenitrile",-10.62,-18.48,-20.24,-11.93
"(2S)-1,3-benzothiazol-2-yl{2-[(2-pyridin-3-ylethyl)amino]pyrimidin-4-yl}ethanenitrile",HAS_SYNERGISM_WITH,Panobinostat,-1.01,-2.67,-20.94,0.23
Panobinostat,HAS_SYNERGISM_WITH,"(2S)-1,3-benzothiazol-2-yl{2-[(2-pyridin-3-ylethyl)amino]pyrimidin-4-yl}ethanenitrile",-1.01,-2.67,-20.94,0.23
Pazopanib,HAS_ANTAGONISM_WITH,Bosentan,-13.58,-27.61,-13.58,-27.61
Bosentan,HAS_ANTAGONISM_WITH,Pazopanib,-13.58,-27.61,-13.58,-27.61
Pazopanib,HAS_ANTAGONISM_WITH,Dihydroergotamine,-11.89,-24.92,-11.89,-24.92
Dihydroergotamine,HAS_ANTAGONISM_WITH,Pazopanib,-11.89,-24.92,-11.89,-24.92
Pazopanib,HAS_ANTAGONISM_WITH,Saxagliptin,-22.55,-36.03,-22.55,-36.03
Saxagliptin,HAS_ANTAGONISM_WITH,Pazopanib,-22.55,-36.03,-22.55,-36.03
Pazopanib,HAS_ANTAGONISM_WITH,Nitisinone,-14.55,-35.18,-14.56,-35.18
Nitisinone,HAS_ANTAGONISM_WITH,Pazopanib,-14.55,-35.18,-14.56,-35.18
Pazopanib,HAS_ANTAGONISM_WITH,Desoxycorticosterone Pivalate,-20.05,-32.34,-20.05,-32.34
Desoxycorticosterone Pivalate,HAS_ANTAGONISM_WITH,Pazopanib,-20.05,-32.34,-20.05,-32.34
Pazopanib,HAS_ANTAGONISM_WITH,Pramipexole,-22.62,-35.54,-22.62,-35.54
Pramipexole,HAS_ANTAGONISM_WITH,Pazopanib,-22.62,-35.54,-22.62,-35.54
Pazopanib,HAS_SYNERGISM_WITH,Carglumic Acid,27.67,14.26,27.67,14.26
Carglumic Acid,HAS_SYNERGISM_WITH,Pazopanib,27.67,14.26,27.67,14.26
Pazopanib,HAS_SYNERGISM_WITH,Gefitinib,17.17,11.84,17.13,11.84
Gefitinib,HAS_SYNERGISM_WITH,Pazopanib,17.17,11.84,17.13,11.84
Pazopanib,HAS_ANTAGONISM_WITH,Rufinamide,-8.68,-20.04,-8.69,-20.04
Rufinamide,HAS_ANTAGONISM_WITH,Pazopanib,-8.68,-20.04,-8.69,-20.04
Pazopanib,HAS_ANTAGONISM_WITH,Norgestrel,-16.59,-30.58,-16.59,-30.58
Norgestrel,HAS_ANTAGONISM_WITH,Pazopanib,-16.59,-30.58,-16.59,-30.58
Pazopanib,HAS_SYNERGISM_WITH,Vinblastine,3.97,3.32,3.87,3.32
Vinblastine,HAS_SYNERGISM_WITH,Pazopanib,3.97,3.32,3.87,3.32
Pazopanib,HAS_ANTAGONISM_WITH,Febuxostat,-23.21,-38.85,-23.22,-38.85
Febuxostat,HAS_ANTAGONISM_WITH,Pazopanib,-23.21,-38.85,-23.22,-38.85
Pazopanib,HAS_ANTAGONISM_WITH,Sildenafil,-22.72,-35.85,-22.72,-35.85
Sildenafil,HAS_ANTAGONISM_WITH,Pazopanib,-22.72,-35.85,-22.72,-35.85
Pazopanib,HAS_ANTAGONISM_WITH,Allopurinol,-22.55,-39.18,-22.56,-39.18
Allopurinol,HAS_ANTAGONISM_WITH,Pazopanib,-22.55,-39.18,-22.56,-39.18
Pazopanib,HAS_SYNERGISM_WITH,Pemetrexed,-0.31,-0.97,-0.31,15.74
Pemetrexed,HAS_SYNERGISM_WITH,Pazopanib,-0.31,-0.97,-0.31,15.74
Pazopanib,HAS_SYNERGISM_WITH,Rifabutin,20.0,4.29,20.0,4.29
Rifabutin,HAS_SYNERGISM_WITH,Pazopanib,20.0,4.29,20.0,4.29
Pazopanib,HAS_ANTAGONISM_WITH,Eltrombopag,-3.72,-10.34,-3.75,-10.34
Eltrombopag,HAS_ANTAGONISM_WITH,Pazopanib,-3.72,-10.34,-3.75,-10.34
Pazopanib,HAS_SYNERGISM_WITH,Testolactone,12.21,0.32,12.21,0.32
Testolactone,HAS_SYNERGISM_WITH,Pazopanib,12.21,0.32,12.21,0.32
Pazopanib,HAS_ANTAGONISM_WITH,Ezetimibe,3.62,-8.92,3.62,-8.92
Ezetimibe,HAS_ANTAGONISM_WITH,Pazopanib,3.62,-8.92,3.62,-8.92
Pazopanib,HAS_SYNERGISM_WITH,Cinacalcet,46.82,36.5,46.82,36.5
Cinacalcet,HAS_SYNERGISM_WITH,Pazopanib,46.82,36.5,46.82,36.5
Pazopanib,HAS_SYNERGISM_WITH,Lubiprostone,30.18,16.21,30.18,16.21
Lubiprostone,HAS_SYNERGISM_WITH,Pazopanib,30.18,16.21,30.18,16.21
Pazopanib,HAS_ANTAGONISM_WITH,Olmesartan,-21.77,-34.69,-21.77,-34.69
Olmesartan,HAS_ANTAGONISM_WITH,Pazopanib,-21.77,-34.69,-21.77,-34.69
Pazopanib,HAS_ANTAGONISM_WITH,Amiloride,-15.11,-26.85,-15.11,-26.85
Amiloride,HAS_ANTAGONISM_WITH,Pazopanib,-15.11,-26.85,-15.11,-26.85
Pazopanib,HAS_ANTAGONISM_WITH,Varenicline,-13.65,-25.46,-13.65,-25.46
Varenicline,HAS_ANTAGONISM_WITH,Pazopanib,-13.65,-25.46,-13.65,-25.46
Pazopanib,HAS_ANTAGONISM_WITH,Tacrine,-17.83,-30.76,-17.83,-30.76
Tacrine,HAS_ANTAGONISM_WITH,Pazopanib,-17.83,-30.76,-17.83,-30.76
