Drug1_CID,Drug2_CID,HSA_values,Bliss_values,Loewe_values,ZIP_values,HSA,Bliss,Loewe,ZIP,in_pharmacome
10077130,24821094,[-1.235],[2.575],[-28.495],[4.364],-1.24,2.58,-28.5,4.36,yes
10077130,6918837,"[5.7, 5.698, 5.7]","[6.6, 6.596, 6.6]","[0.51, 0.509, 0.51]","[6.78, 6.786, 6.82]",5.7,6.6,0.51,6.8,yes
10096344,25126798,"[-5.75, -5.753, -5.75]","[8.22, 8.217, 8.22]","[-30.15, -30.149, -30.15]","[12.19, 12.195, 12.19]",-5.75,8.22,-30.15,12.19,yes
10096344,6918837,"[3.78, 3.784, 3.78]","[8.16, 8.164, 8.16]","[-11.07, -11.065, -19.78]","[8.13, 8.132, 8.95]",3.78,8.16,-13.97,8.4,yes
10113978,104865,"[-13.58, -13.58]","[-27.61, -27.61]","[-13.58, -13.58]","[-27.61, -27.61]",-13.58,-27.61,-13.58,-27.61,yes
10113978,10531,"[-11.89, -11.89]","[-24.92, -24.92]","[-11.89, -11.89]","[-24.92, -24.92]",-11.89,-24.92,-11.89,-24.92,yes
10113978,11243969,"[-22.55, -22.55]","[-36.03, -36.03]","[-22.55, -22.55]","[-36.03, -36.03]",-22.55,-36.03,-22.55,-36.03,yes
10113978,115355,"[-14.55, -14.55]","[-35.18, -35.18]","[-14.56, -14.56]","[-35.18, -35.18]",-14.55,-35.18,-14.56,-35.18,yes
10113978,11876263,"[-20.05, -20.05]","[-32.34, -32.34]","[-20.05, -20.05]","[-32.34, -32.34]",-20.05,-32.34,-20.05,-32.34,yes
10113978,119570,"[-22.62, -22.62]","[-35.54, -35.54]","[-22.62, -22.62]","[-35.54, -35.54]",-22.62,-35.54,-22.62,-35.54,yes
10113978,123631,"[17.17, 17.17]","[11.84, 11.84]","[17.13, 17.13]","[11.84, 11.84]",17.17,11.84,17.13,11.84,yes
10113978,129228,"[-8.68, -8.68]","[-20.04, -20.04]","[-8.69, -8.69]","[-20.04, -20.04]",-8.68,-20.04,-8.69,-20.04,yes
10113978,13109,"[-16.59, -16.59]","[-30.58, -30.58]","[-16.59, -16.59]","[-30.58, -30.58]",-16.59,-30.58,-16.59,-30.58,yes
10113978,134018,"[-23.21, -23.21]","[-38.85, -38.85]","[-23.22, -23.22]","[-38.85, -38.85]",-23.21,-38.85,-23.22,-38.85,yes
10113978,135398744,"[-22.72, -22.72]","[-35.85, -35.85]","[-22.72, -22.72]","[-35.85, -35.85]",-22.72,-35.85,-22.72,-35.85,yes
10113978,135401907,"[-22.55, -22.55]","[-39.18, -39.18]","[-22.56, -22.56]","[-39.18, -39.18]",-22.55,-39.18,-22.56,-39.18,yes
10113978,135410875,[-0.31],[-0.97],[-0.31],[15.74],-0.31,-0.97,-0.31,15.74,yes
10113978,135449332,"[-3.72, -3.72]","[-10.34, -10.34]","[-3.75, -3.75]","[-10.34, -10.34]",-3.72,-10.34,-3.75,-10.34,yes
10113978,13769,"[12.21, 12.21]","[0.32, 0.32]","[12.21, 12.21]","[0.32, 0.32]",12.21,0.32,12.21,0.32,yes
10113978,150311,"[3.62, 3.62]","[-8.92, -8.92]","[3.62, 3.62]","[-8.92, -8.92]",3.62,-8.92,3.62,-8.92,yes
10113978,156419,"[69.86, 69.86, 0.74]","[54.38, 54.38, 0.74]","[69.86, 69.86, 0.74]","[54.38, 54.38, 0.74]",46.82,36.5,46.82,36.5,yes
10113978,157920,"[30.18, 30.18]","[16.21, 16.21]","[30.18, 30.18]","[16.21, 16.21]",30.18,16.21,30.18,16.21,yes
10113978,158781,"[-21.77, -21.77]","[-34.69, -34.69]","[-21.77, -21.77]","[-34.69, -34.69]",-21.77,-34.69,-21.77,-34.69,yes
10113978,16231,"[-15.11, -15.11]","[-26.85, -26.85]","[-15.11, -15.11]","[-26.85, -26.85]",-15.11,-26.85,-15.11,-26.85,yes
