ID	Type	name
0	BiologicalProcess	"bp(GOBP:""inflammatory response"")"
1	BiologicalProcess	"bp(GOBP:""neuron differentiation"")"
2	BiologicalProcess	"bp(MESHPP:""Stress, Physiological"")"
5	BiologicalProcess	"bp(GOBP:""cell activation"")"
6	BiologicalProcess	"bp(GOBP:""macrophage differentiation"")"
7	BiologicalProcess	"bp(GOBP:""memory"")"
8	BiologicalProcess	"bp(MESHPP:""Neuroprotection"")"
9	BiologicalProcess	"bp(GOBP:""cell chemotaxis"")"
11	BiologicalProcess	"bp(GOBP:""phospholipase C-activating G-protein coupled receptor signaling pathway"")"
12	BiologicalProcess	"bp(GOBP:""intrinsic apoptotic signaling pathway by p53 class mediator"")"
13	BiologicalProcess	"bp(GOBP:""B cell activation"")"
14	BiologicalProcess	"bp(FIXME:""nicotine withdrawal"")"
15	BiologicalProcess	"bp(GOBP:""regulation of energy homeostasis"")"
17	BiologicalProcess	"bp(GOBP:""chemokine biosynthetic process"")"
18	BiologicalProcess	"bp(MESHPP:""Long-Term Potentiation"")"
19	BiologicalProcess	"bp(GOBP:""neurotrophin production"")"
21	BiologicalProcess	"bp(GOBP:""dopamine uptake"")"
22	BiologicalProcess	"bp(GOBP:""positive regulation of leukocyte apoptotic process"")"
23	BiologicalProcess	"bp(GOBP:""negative regulation of viral reproduction"")"
24	BiologicalProcess	"bp(PMIBP:""Neuronal injury-induced glial apoE secretion"")"
26	BiologicalProcess	"bp(CBP:""immune mediated tissue damage"")"
28	BiologicalProcess	"bp(GOBP:""synapsis"")"
29	BiologicalProcess	"bp(GO:""inflammatory response"")"
30	BiologicalProcess	"bp(GO:""neurogenesis"")"
32	BiologicalProcess	"bp(GO:""mitochondrial depolarization"")"
33	BiologicalProcess	"bp(GO:""regulation of ryanodine-sensitive calcium-release channel activity"")"
34	BiologicalProcess	"bp(GO:""proteasomal protein catabolic process"")"
35	BiologicalProcess	"bp(GO:""retrograde axonal transport"")"
36	BiologicalProcess	"bp(MESH:""Cell Hypoxia"")"
38	BiologicalProcess	"bp(GO:""neutrophil activation"")"
39	BiologicalProcess	"bp(GO:""pathogenesis"")"
40	BiologicalProcess	"bp(GO:""response to oxygen-glucose deprivation"")"
41	BiologicalProcess	"bp(GO:""positive regulation of oligodendrocyte apoptotic process"")"
42	BiologicalProcess	"bp(GO:""neuron remodeling"")"
43	BiologicalProcess	"bp(GO:""phosphorylation"")"
44	BiologicalProcess	"bp(MESH:""Ultraviolet Rays"")"
46	BiologicalProcess	"bp(GO:""calcineurin-mediated signaling"")"
47	BiologicalProcess	"bp(GO:""GO:0008292"")"
50	BiologicalProcess	"bp(GO:""mitochondrion distribution"")"
52	BiologicalProcess	"bp(GO:""response to growth factor"")"
53	BiologicalProcess	"bp(GO:""amino acid activation"")"
56	BiologicalProcess	"bp(MESH:""Hot Temperature"")"
57	BiologicalProcess	"bp(GOBP:""glucose metabolic process"")"
62	BiologicalProcess	"bp(GOBP:""JAK-STAT cascade"")"
64	BiologicalProcess	"bp(GOBP:""mitochondrial translocation"")"
65	BiologicalProcess	"bp(GOBP:""negative regulation of synaptic growth at neuromuscular junction"")"
66	BiologicalProcess	"bp(MESHPP:""Wnt Signaling Pathway"")"
67	BiologicalProcess	"bp(GOBP:""insulin receptor signaling pathway"")"
68	BiologicalProcess	"bp(GOBP:""cellular senescence"")"
69	BiologicalProcess	"bp(GOBP:""metabolic process"")"
70	BiologicalProcess	"bp(GOBP:""protein kinase A signaling"")"
71	BiologicalProcess	"bp(GOBP:""cell cycle checkpoint"")"
73	BiologicalProcess	"bp(GOBP:""axon cargo transport"")"
74	BiologicalProcess	"bp(GOBP:""DNA biosynthetic process"")"
75	BiologicalProcess	"bp(ADO:""Mild_cognitive_impairment"")"
76	BiologicalProcess	"bp(GOBP:""migration in host"")"
78	BiologicalProcess	"bp(GO:""nicotine metabolic process"")"
79	BiologicalProcess	"bp(CONSO:""CONSO00077"")"
80	BiologicalProcess	"bp(GO:""carbohydrate utilization"")"
81	BiologicalProcess	"bp(GO:""endocytosis"")"
82	BiologicalProcess	"bp(GO:""cholesterol metabolic process"")"
83	BiologicalProcess	"bp(GO:""axonal transport"")"
84	BiologicalProcess	"bp(GO:""autophagosome-lysosome fusion"")"
87	BiologicalProcess	"bp(GO:""cell proliferation"")"
88	BiologicalProcess	"bp(GO:""cerebrospinal fluid secretion"")"
89	BiologicalProcess	"bp(GO:""exonucleolytic nuclear-transcribed mRNA catabolic process involved in deadenylation-independent decay"")"
91	BiologicalProcess	"bp(GO:""mast cell degranulation"")"
92	BiologicalProcess	"bp(GO:""protein dephosphorylation"")"
93	BiologicalProcess	"bp(GO:""bulk synaptic vesicle endocytosis"")"
94	BiologicalProcess	"bp(CONSO:""non-enzymatic protein modification"")"
96	BiologicalProcess	"bp(GO:""locomotor rhythm"")"
97	BiologicalProcess	"bp(GO:""spontaneous synaptic transmission"")"
98	BiologicalProcess	"bp(GO:""glial cell-derived neurotrophic factor receptor signaling pathway"")"
99	BiologicalProcess	"bp(GO:""late endosomal microautophagy"")"
100	BiologicalProcess	"bp(GO:""protein modification process"")"
101	BiologicalProcess	"bp(GO:""bone growth"")"
120	BiologicalProcess	"bp(GOBP:""regulation of mitochondrial membrane potential"")"
121	BiologicalProcess	"bp(MESHPP:""Synaptic Transmission"")"
122	BiologicalProcess	"bp(GOBP:""production of molecular mediator involved in inflammatory response"")"
123	BiologicalProcess	"bp(GOBP:""regulation of catalytic activity"")"
125	BiologicalProcess	"bp(GOBP:""negative regulation of insulin secretion involved in cellular response to glucose stimulus"")"
128	BiologicalProcess	"bp(GOBP:""Notch signaling pathway"")"
129	BiologicalProcess	"bp(GOBP:""lipid metabolic process"")"
130	BiologicalProcess	"bp(GOBP:""maintenance of permeability of blood-brain barrier"")"
132	BiologicalProcess	"bp(HP:""cholinesterase activity"")"
133	BiologicalProcess	"bp(GOBP:""leukotriene production involved in inflammatory response"")"
134	BiologicalProcess	"bp(GOBP:""superoxide dismutase activity"")"
135	BiologicalProcess	"bp(GOBP:""peptidyl-cysteine S-trans-nitrosylation"")"
136	BiologicalProcess	"bp(PTS:""amyloidogenic pathway"")"
137	BiologicalProcess	"bp(GOBP:""hormone secretion"")"
139	BiologicalProcess	"bp(MESHPP:""Mitochondrial Swelling"")"
141	BiologicalProcess	"bp(GO:""action potential"")"
142	BiologicalProcess	"bp(GO:""apoptotic DNA fragmentation"")"
143	BiologicalProcess	"bp(GO:""synapse pruning"")"
144	BiologicalProcess	"bp(GO:""positive regulation of short-term neuronal synaptic plasticity"")"
145	BiologicalProcess	"bp(GO:""microtubule cytoskeleton organization"")"
146	BiologicalProcess	"bp(MESH:""Apoptosis"")"
147	BiologicalProcess	"bp(GO:""ubiquitin-dependent protein catabolic process"")"
148	BiologicalProcess	"bp(GO:""synaptic vesicle membrane organization"")"
150	BiologicalProcess	"bp(GO:""negative regulation of cell volume"")"
151	BiologicalProcess	"bp(GO:""central nervous system development"")"
152	BiologicalProcess	"bp(GO:""ectoderm development"")"
153	BiologicalProcess	"bp(MESH:""Vision, Ocular"")"
154	BiologicalProcess	"bp(GO:""tissue remodeling"")"
155	BiologicalProcess	"bp(GO:""autophagosome assembly"")"
158	BiologicalProcess	"bp(GO:""DNA replication initiation"")"
162	BiologicalProcess	"bp(GO:""selective autophagy"")"
163	BiologicalProcess	"bp(GO:""actin filament polymerization"")"
164	BiologicalProcess	"bp(GO:""actin cytoskeleton reorganization"")"
171	BiologicalProcess	"bp(GOBP:""microglial cell activation involved in immune response"")"
174	BiologicalProcess	"bp(GOBP:""misfolded protein transport"")"
176	BiologicalProcess	"bp(GOBP:""type III interferon production"")"
177	BiologicalProcess	"bp(GOBP:""canonical Wnt signaling pathway"")"
180	BiologicalProcess	"bp(GOBP:""regulation of synaptic activity"")"
181	BiologicalProcess	"bp(GOBP:""positive regulation of synaptic plasticity"")"
182	BiologicalProcess	"bp(MESHPP:""Longevity"")"
183	BiologicalProcess	"bp(HP:""kinase activity"")"
184	BiologicalProcess	"bp(PMIBP:""glycogen synthase kinase-3 beta intracellular signaling pathway"")"
185	BiologicalProcess	"bp(GOBP:""nagative regulation of blood pressure"")"
186	BiologicalProcess	"bp(GOBP:""positive regulation of mitochondrial membrane permeability involved in apoptotic process"")"
188	BiologicalProcess	"bp(GOBP:""phospholipid-hydroperoxide glutathione peroxidase activity"")"
189	BiologicalProcess	"bp(MESHPP:""Long-Term Synaptic Depression"")"
191	BiologicalProcess	"bp(GO:""behavior"")"
192	BiologicalProcess	"bp(GO:""neuronal signal transduction"")"
194	BiologicalProcess	"bp(GO:""dendritic spine development"")"
195	BiologicalProcess	"bp(GO:""hypermethylation of CpG island"")"
196	BiologicalProcess	"bp(MESH:""Neuroprotection"")"
198	BiologicalProcess	"bp(GO:""histone H4-K12 acetylation"")"
199	BiologicalProcess	"bp(GO:""maintenance of cell number"")"
200	BiologicalProcess	"bp(GO:""cellular response to oxidative stress"")"
201	BiologicalProcess	"bp(GO:""monoamine transport"")"
202	BiologicalProcess	"bp(GO:""mitochondrial fusion"")"
203	BiologicalProcess	"bp(MESH:""Immunomodulation"")"
