Drug1_CID,Drug2_CID,HSA_values,Bliss_values,Loewe_values,ZIP_values,HSA,Bliss,Loewe,ZIP,in_pharmacome
100016,11347535,"[-4.03, -4.031, -4.03]","[-2.8, -2.801, -2.8]","[-38.23, -38.229, -38.23]","[0.94, 0.825, 0.77]",-4.03,-2.8,-38.23,0.84,
100016,6918837,"[-2.81, -2.807, -2.81]","[0.83, 0.835, 0.83]","[-24.25, -24.246, -24.28]","[2.83, 2.831, 2.47]",-2.81,0.83,-24.26,2.71,
100094,11347535,"[-4.54, -4.543, -4.54]","[-8.34, -8.342, -8.34]","[-31.99, -31.989, -31.99]","[-4.67, -4.672, -4.99]",-4.54,-8.34,-31.99,-4.78,
100094,6918837,"[0.75, 0.749, 0.75]","[-1.88, -1.876, -1.88]","[-20.02, -20.03, -20.13]","[-2.84, -2.844, -2.22]",0.75,-1.88,-20.06,-2.63,
10026128,11347535,"[0.792, 0.79]","[2.091, 2.09]","[-25.218, -16.92]","[1.939, 1.92]",0.79,2.09,-21.07,1.93,
10026128,11598628,"[-2.035, -2.03]","[-1.169, -1.17]","[-4.399, -12.71]","[-0.375, -0.15]",-2.03,-1.17,-8.55,-0.26,
10026128,46907787,[-3.16],[7.12],[-31.82],[9.37],-3.16,7.12,-31.82,9.37,
10027278,11598628,"[1.78, 1.78]","[2.025, 2.02]","[-5.678, -4.65]","[0.796, 0.8]",1.78,2.02,-5.16,0.8,
10027278,6918837,"[-15.117, 1.93]","[-15.81, -0.59]","[-31.844, -17.51]","[-9.853, -2.51]",-6.59,-8.2,-24.68,-6.18,
10029385,11347535,"[-3.045, -3.05]","[-3.319, -3.32]","[-8.383, -8.38]","[-1.907, -2.02]",-3.05,-3.32,-8.38,-1.96,
10029385,6918837,"[9.291, 9.29]","[3.799, 3.8]","[4.228, 7.67]","[3.513, 3.57]",9.29,3.8,5.95,3.54,
10047612,11598628,"[3.151, 3.15]","[4.268, 4.27]","[0.152, 0.14]","[3.237, 3.24]",3.15,4.27,0.15,3.24,
10047612,25126798,"[-3.326, -3.33]","[8.174, 8.17]","[-9.888, -9.89]","[10.051, 10.05]",-3.33,8.17,-9.89,10.05,
10047612,6135,"[1.136, 3.492, 5.133, 1.14, 5.13, 3.49]","[7.345, 6.288, 12.423, 7.35, 12.42, 6.29]","[-6.42, -2.932, 0.343, -7.83, 0.35, -2.99]","[5.705, 5.559, 8.338, 6.4, 10.38, 5.56]",3.25,8.69,-3.25,6.99,
10052040,11347535,"[-3.44, -3.441, -3.44]","[-2.45, -2.448, -2.45]","[-32.13, -32.099, -32.15]","[-0.35, -0.345, -0.34]",-3.44,-2.45,-32.13,-0.34,
1005519,11347535,[3.822],[1.422],[-1.498],[2.817],3.82,1.42,-1.5,2.82,
1005519,11598628,[1.873],[7.605],[0.337],[4.404],1.87,7.6,0.34,4.4,
1005519,24821094,[2.155],[-11.418],[-6.527],[-11.459],2.15,-11.42,-6.53,-11.46,
1005519,25126798,"[1.343, 2.057]","[1.342, -4.237]","[-7.981, -2.033]","[-0.744, -4.001]",1.7,-1.45,-5.01,-2.37,
1005519,6918837,[1.483],[-6.137],[-2.631],[-7.093],1.48,-6.14,-2.63,-7.09,
1005654,11347535,[3.82],[1.42],[2.22],[2.82],3.82,1.42,2.22,2.82,
1005654,11598628,[1.87],[7.6],[-9.15],[4.51],1.87,7.6,-9.15,4.51,
